Title,Creator(s),Genre(s)
Squid Game,Hwang Dong-hyuk,Action/Thriller/Survival/Drama
Bridgerton,Chris Van Dusen,Romance/Drama
Money Heist,Álex Pina,Drama/Heist/Thriller
Stranger Things,Matt Duffer/Ross Duffer,Science fiction/Horror/Drama
Lupin,George Kay/François Uzan,Crime/Thriller/Mystery/Drama
The Witcher,Lauren Schmidt Hissrich,Action/Adventure/Fantasy/Drama
Tiger King,Eric Goode/Rebecca Chaiklin,Crime/Documentary
The Queen's Gambit,Scott Frank/Allan Scott,Coming-of-Age/Drama
Sweet Tooth,Jim Mickle,Drama/Fantasy
Emily in Paris,Darren Star,Drama/Comedy/Romance
